_id,title,numRating,averageRating,totalVideoLengthInSeconds,createdAt,numSoldTickets,price,preOrderedPrice,publishTime,groupId,groupTitle,groupName,subGroupId,subGroupTitle,subGroupName
6000fd0607af5c1d4a55d231,黃子瑜鼓教室 | 爵士鼓職人 12 週養成計劃,5,5.0,5588,2021-01-15T02:25:10.000Z,195,3600,2400,2021-09-03T04:00:40.122Z,5c09dc811f7e290020b4bd26,音樂,music,5c09dcba1f7e290020b4bd2e,樂器,instrument
60792ff52a7cba4f4538d96a,踏出程式新手村！掌握敏捷式軟體開發流程,0,0.0,26325,2021-04-16T06:34:29.000Z,153,1990,1590,2021-11-03T04:11:05.952Z,5c0a05491f7e290020b4c294,程式,programming,5e451dca5b02f600245a7a45,軟體程式開發與維護,devops
581c3a59cca880070070561b,不到一小時就能學會的個人網站製作,64,4.86,4814,2016-11-04T07:35:53.000Z,581,220,99,2017-02-23T06:54:26.692Z,5c0a05491f7e290020b4c294,程式,programming,5c0a07a21f7e290020b4c2d5,網站架設,web-building-tool
5737f2acfad4ef0a006b6912,邊走邊畫，帶著手帳旅行去！,178,4.85,6366,2016-05-15T03:53:16.000Z,1748,850,700,2016-12-13T07:52:08.377Z,5c09e9af1f7e290020b4bf33,藝術,art,5c1760bd11b27900205c554a,繪畫與插畫,drawing-and-illustration
5aca2dc9d21aee001e55b296,經典駭客攻擊教程：給每個人的網站安全入門,92,4.97,41365,2018-04-08T14:57:13.000Z,1121,2799,1500,2018-09-25T04:00:14.279Z,5c0a05491f7e290020b4c294,程式,programming,5c0a08391f7e290020b4c2e4,資訊安全,information-security
5947c8b3d0472a0700f2adda,當個水彩甜點師 — 雪莉的午茶繪畫課,219,4.97,6415,2017-06-19T12:50:59.000Z,1451,1200,880,2017-11-27T04:03:48.854Z,5c09e9af1f7e290020b4bf33,藝術,art,5c1760bd11b27900205c554a,繪畫與插畫,drawing-and-illustration
5f0e2a2071bf470b216f6d25,五星級法式經典甜點在家做,4,5.0,10823,2020-07-14T21:56:48.000Z,100,2880,2199,2021-03-24T05:22:06.696Z,5c0a29d31f7e290020b4c892,生活品味,lifestyle,5c0a2a251f7e290020b4c89d,烹飪料理與甜點,cooking
5ecf1e19f52bb449c74e7e4b,做圖啦！設計省攻略：品牌應用新手速成,30,4.93,11460,2020-05-28T02:12:41.000Z,392,999,888,2020-10-23T04:00:34.361Z,5c09fc8f1f7e290020b4c168,設計,design,5f47493ec1b61ee6ce27a62f,更多設計,more-design
602e35ead5b9f1537f5d0813,讓巴毛律師智財你！搞懂生活中的智慧財產權,9,5.0,8262,2021-02-18T09:39:54.000Z,230,2000,1400,2021-07-16T03:58:06.454Z,5c0a04671f7e290020b4c282,人文,humanities,5c0a048c1f7e290020b4c289,社會科學,social-science
5c5d46c879f1990022e068bb,如何秒速視譜？驚人的獨家視譜法,13,4.77,9043,2019-02-08T09:07:20.000Z,300,2580,1580,2019-08-13T03:59:08.393Z,5c09dc811f7e290020b4bd26,音樂,music,5c09dcba1f7e290020b4bd2e,樂器,instrument
578dc4b1d0c30307004170af,MG特效 -【3D陣列圖形與分子運用C4D+AE】,42,4.6,53816,2016-07-19T06:12:01.000Z,691,1750,750,2016-11-18T03:23:10.308Z,5c09fc8f1f7e290020b4c168,設計,design,5c09ff121f7e290020b4c19f,動態設計,motion-design-tool
55c636d27b4d99100011a4aa,自己當導演！全方位微電影製作（基礎）,50,4.88,7674,2015-08-08T17:05:22.000Z,469,500,400,2015-09-25T13:13:58.815Z,5c09e75c1f7e290020b4bee1,攝影,photography,5ef1a7e77e05eb3c0ba07101,動態攝影,videography
586ec677a8aae907000cdd6f,靈魂的代言人-塔羅牌義全解析,128,4.98,14638,2017-01-05T22:19:35.000Z,2209,800,500,2017-04-07T17:28:08.953Z,5c0a29d31f7e290020b4c892,生活品味,lifestyle,5c0a2a661f7e290020b4c8a8,心靈成長與教育,education
5e11916454511e0d1440cfd0,大人的蠟筆畫：活用油畫知識，寫實生活微光,15,5.0,11792,2020-01-05T07:33:56.000Z,306,1900,1500,2020-07-31T03:58:25.340Z,5c09e9af1f7e290020b4bf33,藝術,art,5c1760bd11b27900205c554a,繪畫與插畫,drawing-and-illustration
6139cf83590df100066310ee,實用Photoshop - 文字特效材質術,4,5.0,16801,2021-09-09T09:10:27.000Z,251,2200,1688,2022-01-25T04:00:35.714Z,5c09e9af1f7e290020b4bf33,藝術,art,5ef19ca57e05eb527ea065dc,字體設計,font-design
58d46b4a27ea7d0700600e15,"人人都是賈伯斯,你也可以開發自己的產品",12,4.92,16156,2017-03-24T00:41:46.000Z,180,2200,1800,2017-09-06T01:03:13.967Z,5c0a15661f7e290020b4c571,職場技能,career-skills,5ef1aa01be237d896f82c8bf,產品設計,product-design
60176a4b910e49e945650230,陳日昇魔術教室，萬人迷魔法就在手中,8,5.0,13116,2021-02-01T02:41:15.000Z,182,2580,1880,2021-10-05T04:00:15.577Z,5c0a29d31f7e290020b4c892,生活品味,lifestyle,5c220e964e32a8001facf4bb,更多生活品味,more-lifestyle
5c82809d9d98460020c3078d,開啟你的 AI 技能 —— 無痛入門 NLP,11,4.09,15687,2019-03-08T14:47:57.000Z,287,2600,1800,2019-12-10T04:22:33.012Z,5c0a05491f7e290020b4c294,程式,programming,5c0a09181f7e290020b4c309,資料科學,data-science
5b33cd4f2c4c44004391c836,PHP 攻略：Laravel 5.8 從入門到實務,6,3.83,63273,2018-06-27T17:45:51.000Z,250,2400,1780,2020-05-25T04:00:48.419Z,5c0a05491f7e290020b4c294,程式,programming,5c0a05d51f7e290020b4c2a7,程式入門,programming-fundamentals
577d9599d0c303070041173a,AutoCAD 電腦繪圖2D基礎篇－紮實入門,130,4.98,43212,2016-07-06T23:34:49.000Z,2585,2500,1500,2016-12-26T17:14:08.026Z,5c09fc8f1f7e290020b4c168,設計,design,5c09ffe71f7e290020b4c1c7,應用設計,applicational-design
